Resort_Name,google_search_name,Resort_INS_hashtag,twitter_id
alpine-valley-resort-elkhorn,alpine-valley-resort-elkhorn skiresort,alpinevalleyresort,0
alpine-valley-white-lake,alpine-valley-white-lake skiresort,alpinevalley,0
american-dream-meadowlands-east-rutherford,american-dream-meadowlands-east-rutherford skiresort,americandreammeadowlandseastrutherford,0
apple-mountain,apple-mountain skiresort,applemountain,0
aspen-mountain,aspen-mountain skiresort,aspenmountain,0
ausblick-sussex,ausblick-sussex skiresort,ausblickskiarea,0
badger-mountain,badger-mountain skiresort,badgermountainskihill,0
badger-pass,badger-pass skiresort,badgerpass,0
bald-mountain-sun-valley,bald-mountain-sun-valley skiresort,baldmountainsunvalley,0
bear-creek-mountain-resort,bear-creek-mountain-resort skiresort,bearcreekmountainresort,0
bear-paw-ski-bowl,bear-paw-ski-bowl skiresort,bearpawskibowl,0
bear-valley,bear-valley skiresort,bearvalleyskiresort,0
bears-den-mountain-fort-ransom,bears-den-mountain-fort-ransom skiresort,bearsdenmountain,0
beech-mountain,beech-mountain skiresort,beechmountain,0
big-bear-at-masthope-mountain,big-bear-at-masthope-mountain skiresort,bigbearatmasthope,0
big-boulder,big-boulder skiresort,bigboulderpark,0
big-creek-ski-area,big-creek-ski-area skiresort,bigcreekskiclub,0
big-powderhorn-mountain,big-powderhorn-mountain skiresort,bigpowderhornmountain,0
big-squaw,big-squaw skiresort,bigsquaw,0
blacktail-mountain,blacktail-mountain skiresort,blacktailmountain,0
blandford,blandford skiresort,skiblandford,0
boreal,boreal skiresort,borealskiresort,0
boston-mills,boston-mills skiresort,bostonmills,0
bottineau-winter-park,bottineau-winter-park skiresort,bottineauwinterpark,0
boyce-park,boyce-park skiresort,boyceparkskislopes,0
boyne-mountain,boyne-mountain skiresort,boynemountain,0
brandywine,brandywine skiresort,brandywineskiresort,0
brantling-ski-slopes,brantling-ski-slopes skiresort,brantlingskislopes,0
brian-head,brian-head skiresort,brianheadskiresort,0
brighton,brighton skiresort,brightonskiresort,0
bruce-mound,bruce-mound skiresort,brucemound,0
buena-vista,buena-vista skiresort,buenavistaskiarea,0
buttermilk-mountain,buttermilk-mountain skiresort,buttermilkmountain,0
camp-10,camp-10 skiresort,camp10skiandsnowboard,0
campgaw,campgaw skiresort,campgaw,0
campton-mountain,campton-mountain skiresort,camptonmountain,0
challenge-mountain-walloon-lake,challenge-mountain-walloon-lake skiresort,challengemountain,0
cloudcroft,cloudcroft skiresort,skicloudcroft,0
coppervale,coppervale skiresort,coppervale,0
cottonwood-butte,cottonwood-butte skiresort,cottonwoodbutte,0
crescent-hills,crescent-hills skiresort,crescenthills,0
dartmouth-skiway,dartmouth-skiway skiresort,dartmouthskiway,0
denton-hill-state-park,denton-hill-state-park skiresort,dentonhillstatepark,0
donner-ski-area,donner-ski-area skiresort,donnerskiranch,0
donner-ski-ranch,donner-ski-ranch skiresort,donnerskiranch,0
dynamite-hill-chestertown,dynamite-hill-chestertown skiresort,dynamitehill,0
eagle-island-park,eagle-island-park skiresort,eagleislandpark,0
eaton-mountain,eaton-mountain skiresort,eatonmountain,0
echo-valley-lake-chelan,echo-valley-lake-chelan skiresort,echovalleylake,0
eldora-mountain,eldora-mountain skiresort,eldoramountainresort,0
elk-ridge-williams,elk-ridge-williams skiresort,elkridgewilliams,0
ferguson-ridge,ferguson-ridge skiresort,fergusonridge,0
fort-wainwrightbirch-hill-fairbanks,fort-wainwrightbirch-hill-fairbanks skiresort,fortwainwrightalaska,0
frost-fire-mountain,frost-fire-mountain skiresort,frostfiremountain,0
giants-ridge,giants-ridge skiresort,giantsridge,0
great-bear-ski-area,great-bear-ski-area skiresort,greatbearskivalley,0
great-divide,great-divide skiresort,greatdivideski,0
heiliger-huegel-hubertus,heiliger-huegel-hubertus skiresort,heiligerhuegel,0
hermon-mountain,hermon-mountain skiresort,hermonmountain,0
hickory-ski-center,hickory-ski-center skiresort,hickoryskicenter,0
hidden-valley-mo,hidden-valley-mo skiresort,hiddenvalleyski,0
hilltop-anchorage,hilltop-anchorage skiresort,hilltopanchorage,0
holiday-mountain-ny,holiday-mountain-ny skiresort,holidaymountain,0
hunter-mountain,hunter-mountain skiresort,huntermountain,0
hyland-ski-snowboard-area,hyland-ski-snowboard-area skiresort,hylandskisnowboardarea,0
jerrys-heliski-alaska,jerrys-heliski-alaska skiresort,jerrysheliskialaska,0
kettlebowl,kettlebowl skiresort,kettlebowl111,0
keyes-peak-florence,keyes-peak-florence skiresort,keyespeakflorence,0
kirkwood,kirkwood skiresort,kirkwooddeep,0
lake-city-ski-hill,lake-city-ski-hill skiresort,lakecityskihill,0
las-vegas-ski-and-snowboard-resort-lee-canyon,las-vegas-ski-and-snowboard-resort-lee-canyon skiresort,asvegasskiandsnowboard,0
leavenworth-ski-hill,leavenworth-ski-hill skiresort,skileavenworth,0
