Resort_Name,google_search_name,Resort_INS_hashtag,twitter_account_name,twitter_screen_name,Continent,Country,State,URL,Altitude,Easy_km,Intermediate_km,Difficult_km,Adult_ticket,Youth_ticket,Child_ticket,Lifts_cables
china-peak,china-peak skiresort,skichinapeak,China Peak,China_Peak,North America,USA,California,http://www.skiresort.info/ski-resort/china-peak/,2654,20,17,13,79,54,34,null
christie-mountain,christie-mountain skiresort,christiemountain,Christie Mountain,ChristieMtn,North America,USA,Wisconsin,http://www.skiresort.info/ski-resort/christie-mountain/,510,2.8,1.5,0.7,37,0,32,null
christmas-mountain,christmas-mountain skiresort,christmasmountain,Christmas Mountain,christmasmounta,North America,USA,Wisconsin,http://www.skiresort.info/ski-resort/christmas-mountain/,370,1.3,0.5,0.2,45,0,31,2.8
clear-fork,clear-fork skiresort,clearforkskiresort,Clear Fork Resort,CLEAR_FORK_SKI,North America,USA,Ohio,http://www.skiresort.info/ski-resort/clear-fork/,420,0,0,0,0,0,0,null
cloudmont-ski-resort,cloudmont-ski-resort skiresort,cloudmontskiresort,Cloudmont Ski Resort,CloudmontAL,North America,USA,Alabama,http://www.skiresort.info/ski-resort/cloudmont-ski-resort/,548,0.6,0,0,30,0,25,null
cochran-ski-area,cochran-ski-area skiresort,cochranskiarea,Cochran Ski Area,CochranSkiArea,North America,USA,Vermont,http://www.skiresort.info/ski-resort/cochran-ski-area/,280,0.6,0.5,0.1,25,0,20,null
cockaigne-ski-area,cockaigne-ski-area skiresort,cockaigneskiarea,Cockaigne Resort,CockaigneResort,North America,USA,New York,http://www.skiresort.info/ski-resort/cockaigne-ski-area/,619,0,0,0,38,0,31,null
coffee-mill-ski-area,coffee-mill-ski-area skiresort,coffeemillskiarea,Coffee Mill Ski Area,coffeemillski,North America,USA,Minnesota,http://www.skiresort.info/ski-resort/coffee-mill-ski-area/,360,1,0.6,0.4,32,0,26,null
cooper-spur,cooper-spur skiresort,cooperspur,Cooper_Spur,Cooper_Spur,North America,USA,Oregon,http://www.skiresort.info/ski-resort/cooper-spur/,1325,4,4,2,32,0,28,3
copper-mountain,copper-mountain skiresort,coppermountainresort,Cooper_ Mountain Ale,coopermountain,North America,USA,Colorado,http://www.skiresort.info/ski-resort/copper-mountain/,3767,30,40,56,150,0,85,3.7
cranmore-mountain-resort,cranmore-mountain-resort skiresort,cranmoremountainresort,Cranmore Mountain,CranmoreMtn,North America,USA,New Hampshire,http://www.skiresort.info/ski-resort/cranmore-mountain-resort/,609,16,19,8,72,59,45,3.4
