resort_ggid,resort_name,resort_ggsearch_name,resort_geo_lat,resort_geo_lng,resort_loc_street,resort_loc_city,resort_loc_state,resort_loc_zipcode,resort_rating,resort_user_ratings,resort_opening_hours,resort_loc
4dbc30f34f550cc50cb8c4c212f1dc13f833543f,Alta Ski Area,alta skiresort,40.5882661,-111.6358047,10010 Little Cottonwood Canyon Rd, Alta,UT,84092,4.6,972.0,{'open_now': False},"10010 Little Cottonwood Canyon Rd, Alta, UT 84092, USA"
320f1d5702f5c7b0391682330e0e94c3f889edfb,Alta Sierra Ski Resort,alta-sierra-shirley-meadows skiresort,35.7111811,-118.5602081,56700 Rancheria Rd, Wofford Heights,CA,93285,4.5,78.0,,"56700 Rancheria Rd, Wofford Heights, CA 93285, USA"
c3125dc91adf4a6f0286fce54c1fcd47d59e1528,Alyeska Resort & Hotel Alyeska,alyeska-resort-girdwood skiresort,60.9704373,-149.0985114,1000 Arlberg Ave, Girdwood,AK,99587,4.5,1541.0,{'open_now': True},"1000 Arlberg Ave, Girdwood, AK 99587, USA"
4f8c9eb8fd0f2f26b8008ce7451f4ee7f6541e16,Alberta Ski Jumping and Nordic Combined,american-dream-meadowlands-east-rutherford skiresort,40.7097338,-74.0109853,1 Liberty St, New York,NY,10006,0.0,0.0,,"1 Liberty St, New York, NY 10006, USA"
1a3810e034c770f3505dc33ea81a1c391b6cab38,Andes Tower Hills,andes-tower-hills skiresort,45.850975,-95.6304971,8176, Kensington,MN,56343,4.4,217.0,{'open_now': False},"8176, 4505 Andes Rd SW, Kensington, MN 56343, United States"
2b50a45ac27789aef27fe48cc34f17b94e533f97,Angel Fire Resort,angel-fire skiresort,36.3876741,-105.2732813,10 Miller Ln, Angel Fire,NM,87710,4.3,651.0,,"10 Miller Ln, Angel Fire, NM 87710, USA"
82f6c3159eb6132b21fe7da00b0d5946eca3e5c6,Antelope Butte Mountain Recreation Area,antelope-butte skiresort,44.6121551,-107.5146787,at 244, Dubois,WY,82513,4.7,6.0,{'open_now': False},"at 244, US-26 & US Hwy Fs Rd 513, Dubois, WY 82513, United States"
a32452f24d83ab92abe26e05d2df7e80e4f5f564,Ski Anthony Lakes,anthony-lakes-mountain-resort skiresort,44.9993663,-118.0542452,47500 Anthony Lakes Hwy, North Powder,OR,97867,4.6,52.0,,"47500 Anthony Lakes Hwy, North Powder, OR 97867, USA"
89092250cd6489a95d5f1ea29c718bdc89b01091,Ski Apache,apache skiresort,33.3973802,-105.7887037,1286 Ski Run Rd, Alto,NM,88312,4.4,1252.0,{'open_now': False},"1286 Ski Run Rd, Alto, NM 88312, USA"
09830efd90d2b31a570ad852103c1231ed2e184d,Appalachian Ski Mtn.,appalachian-ski-mountain skiresort,36.1744099,-81.6625573,940 Ski Mountain Rd, Blowing Rock,NC,28605,4.4,748.0,{'open_now': True},"940 Ski Mountain Rd, Blowing Rock, NC 28605, USA"
c6063328e801552ffea361bc3a613df45c935d7f,Apple Mountain,apple-mountain skiresort,43.470944,-84.107008,4519 N River Rd, Freeland,MI,48623,3.6,20.0,{'open_now': False},"4519 N River Rd, Freeland, MI 48623, USA"
1de512fb0f4a7682f24e560e44b19d2617a3497c,Arapahoe Basin Ski Area,arapahoe-basin skiresort,39.642312,-105.871685,28194 US-6, Keystone,CO,80435,4.7,2333.0,{'open_now': False},"28194 US-6, Keystone, CO 80435, USA"
d63efadc3bb588214476345a5a0e1becb8c52fe2,Arizona Snowbowl,arizona-snowbowl skiresort,35.330886,-111.7103,9300 N Snow Bowl Rd, Flagstaff,AZ,86001,4.4,2515.0,{'open_now': False},"9300 N Snow Bowl Rd, Flagstaff, AZ 86001, USA"
7a5090c9e33f1025360f9d7b3c9af333c27727bb,Aspen Highlands Ski Resort - Aspen Skiing Company,aspen-highlands skiresort,39.1822559,-106.8554949,199 Prospector Rd, Aspen,CO,81611,4.7,312.0,{'open_now': False},"199 Prospector Rd, Aspen, CO 81611, USA"
a76b82852d53eecd7871fe68e881e657999f7094,Aspen Mountain Ski Resort - Aspen Skiing Company,aspen-mountain skiresort,39.1862601,-106.818227,601 E Dean St, Aspen,CO,81611,4.7,350.0,{'open_now': False},"601 E Dean St, Aspen, CO 81611, USA"
8fb7890c03b2ef351694f0b6e44f7926ab6897f7,Attitash Mountain Resort,attitash-mountain-resort skiresort,44.082771,-71.229443,775 US-302, Bartlett,NH,03812,4.4,1134.0,{'open_now': True},"775 US-302, Bartlett, NH 03812, USA"
75f98539040cd8d0194ef5a4292066c6122ee97b,Ausblick,ausblick-sussex skiresort,43.1346697,-88.2645831,W260N6395 Mary Hill Rd, Sussex,WI,53089,4.8,38.0,,"W260N6395 Mary Hill Rd, Sussex, WI 53089, USA"
37ba7672ca3e32da53e814a60bc6b97fad3ac108,Badger Mountain Ski Lodge,badger-mountain skiresort,47.6125783,-120.1304198,Vista Loop Rd, East Wenatchee,WA,98802,4.7,20.0,,"Vista Loop Rd, East Wenatchee, WA 98802, USA"
2cb813f9ae91e603c3c1b09e8b410055317075d7,Yosemite Ski & Snowboard Area,badger-pass skiresort,37.6622677,-119.6633655,7082 Glacier Point Rd, Yosemite National Park,CA,95389,4.5,192.0,{'open_now': False},"7082 Glacier Point Rd, Yosemite National Park, CA 95389, USA"
81d683e31d72517c8b241bf751b872298a3e6485,Carol's Dollar Mountain Day Lodge,bald-mountain-sun-valley skiresort,43.6905069,-114.3461103,82 Elkhorn Rd, Sun Valley,ID,83353,4.7,115.0,,"82 Elkhorn Rd, Sun Valley, ID 83353, USA"
5e37e746d54f8d98dcc5836b803f3fd7b6d55cdc,Bear Creek Mountain Resort,bear-creek-mountain-resort skiresort,40.4753327,-75.6252952,2052, Macungie,PA,18062,4.5,1830.0,,"2052, 101 Doe Mountain Ln, Macungie, PA 18062, United States"
47199a25b9512a418d398f14f856be964af11683,Bear Mountain Ski Resort,bear-mountain-big-bear-lake skiresort,34.2276705,-116.8608046,43101 Goldmine Dr, Big Bear Lake,CA,92315,4.4,2002.0,{'open_now': True},"43101 Goldmine Dr, Big Bear Lake, CA 92315, USA"
7aa14da6692219d087ba4f50423a2d4dc09ee08d,Bear Paw Ski Bowl,bear-paw-ski-bowl skiresort,48.1649918,-109.6701448,Havre,Havre,MT,59501,4.1,8.0,,"Havre, MT 59501, USA"
41e4381f0de16253d8392335cc7e19c7958e1776,Skyline Bear Valley Mountain Resort,bear-valley skiresort,38.4925588,-120.04422,2280 state Rte 207, Bear Valley,CA,95223,4.4,474.0,,"2280 state Rte 207, Bear Valley, CA 95223, USA"
56582f7a20ac39ebe8a4f8010f24d60e5a5beb4d,Bear's Den Mountain,bears-den-mountain-fort-ransom skiresort,46.5319811,-97.9356463,270 Mill Rd, Fort Ransom,ND,58033,0.0,0.0,,"270 Mill Rd, Fort Ransom, ND 58033, USA"
07eb4b6eb1fd4c3dbe8d86d0d78dc98e6e141e7d,Beartooth Basin Summer Ski Area,beartooth-basin skiresort,44.9751148,-109.4347501,US-212, Cody,WY,82414,4.7,32.0,{'open_now': False},"US-212, Cody, WY 82414, USA"
47512a0293fdc91d50c451a3ab592911bc3a34c5,Beaver Creek Resort,beaver-creek skiresort,39.6042863,-106.5167109,210 Beaver Creek Plaza, Beaver Creek,CO,81620,4.7,1464.0,{'open_now': True},"210 Beaver Creek Plaza, Beaver Creek, CO 81620, USA"
69bb50ca834ce25565294fbba27480efd6e1c718,Beaver Mountain Ski Area,beaver-mountain skiresort,41.968075,-111.544144,40000 East Highway 89, Garden City,UT,84028,4.8,373.0,{'open_now': False},"40000 East Highway 89, Garden City, UT 84028, United States"
a8d66a68b82d69cdf6c8331a6bfe105ddbdd4c39,Beech Mountain Ski Resort,beech-mountain skiresort,36.1946784,-81.87799509999999,1007 Beech Mountain Pkwy, Beech Mountain,NC,28604,3.7,250.0,{'open_now': True},"1007 Beech Mountain Pkwy, Beech Mountain, NC 28604, USA"
5684788db5535489755861477d867e0f6b435e6b,Belleayre Mountain Ski Center,belleayre-mountain skiresort,42.1322453,-74.505312,181 Galli Curci Rd, Highmount,NY,12441,4.5,990.0,,"181 Galli Curci Rd, Highmount, NY 12441, USA"
5f4adadd532598bb7e8678b5de3b92cd7c77c7e1,Berkshire East Mountain Resort,berkshire-east skiresort,42.622664,-72.878383,66 Thunder Mountain Rd, Charlemont,MA,01339,4.6,653.0,{'open_now': False},"66 Thunder Mountain Rd, Charlemont, MA 01339, USA"
4a8a0a3561cf32f08880a700d474d8d9a734c3b3,Ski Big Bear at Masthope Mountain,big-bear-at-masthope-mountain skiresort,41.5232598,-75.02506260000001,192 Karl Hope Blvd, Lackawaxen,PA,18435,4.5,209.0,{'open_now': False},"192 Karl Hope Blvd, Lackawaxen, PA 18435, USA"
42384aabb592412941119431fc4a4c374fec7e10,Jack Frost Ski Resort,big-boulder skiresort,41.110006,-75.65123,434 Jack Frost Mountain Rd, White Haven,PA,18661,4.4,717.0,{'open_now': True},"434 Jack Frost Mountain Rd, White Haven, PA 18661, USA"
62b374521179dd1dbdc911bdf7a5e8439bc7aea6,Big Creek Ski Area,big-creek-ski-area skiresort,41.647257,-81.184051,12721 Concord Hambden Rd, Chardon,OH,44024,1.0,2.0,,"12721 Concord Hambden Rd, Chardon, OH 44024, USA"
535d39d2d1cd8aeef4af84ab86898558bc7b0ac2,Big Powderhorn Mountain Resort,big-powderhorn-mountain skiresort,46.5097428,-90.0941598,11375 Powderhorn Rd, Bessemer,MI,49911,4.6,126.0,,"11375 Powderhorn Rd, Bessemer, MI 49911, USA"
004a96f5461c78e342174409507d8273decf450d,Big Sky Resort,big-sky-resort skiresort,45.2857289,-111.4012076,50 Big Sky Resort Rd, Big Sky,MT,59716,4.7,1930.0,,"50 Big Sky Resort Rd, Big Sky, MT 59716, USA"
b902512555bcc0a208d7b5dbe1d6f314360ddd94,Big Squaw Mountain Ski Area,big-squaw skiresort,45.5067172,-69.702021,447 Ski Resort Rd, Greenville Junction,ME,04442,4.7,74.0,,"447 Ski Resort Rd, Greenville Junction, ME 04442, USA"
856a51a7b85b4e78ddd78f1182c1cd1d7816a3ac,Big Tupper Ski Area,big-tupper-tupper-lake skiresort,44.16939989999999,-74.4794083,485 Big Tupper Rd, Tupper Lake,NY,12986,3.7,3.0,,"485 Big Tupper Rd, Tupper Lake, NY 12986, USA"
01fe9723d692b2e1fad3cf303a01bcb9e6a55737,BigRock Mountain,bigrock-mountain skiresort,46.5224036,-67.8289461,37 Graves Rd, Mars Hill,ME,04758,4.8,74.0,{'open_now': False},"37 Graves Rd, Mars Hill, ME 04758, USA"
593d3a3027c75109ff11d836199998f72c08a3a9,Bittersweet Ski Resort,bittersweet skiresort,42.467159,-85.758719,600 River Rd, Otsego,MI,49078,4.5,632.0,{'open_now': False},"600 River Rd, Otsego, MI 49078, USA"
c63eeebfc3e40e50a1e4f515a178e77001ccd458,Black Mountain Ski Area,black-mountain-jackson skiresort,44.1666812,-71.1637835,373 Black Mountain Rd, Jackson,NH,03846,4.5,113.0,{'open_now': True},"373 Black Mountain Rd, Jackson, NH 03846, USA"
50515b8af1bbc8f0896a51beaeeb00935455f408,Black Mountain of Maine,black-mountain-rumford skiresort,44.576957,-70.613337,39 Glover Rd, Rumford,ME,04276,4.7,155.0,,"39 Glover Rd, Rumford, ME 04276, USA"
c291681dce9283fc2e57a7bc45b4d10cedcfa0fc,Blackhawk Ski Area West Chalet,blackhawk-ski-club-middleton skiresort,43.0826097,-89.5702578,10222 Blackhawk Rd, Middleton,WI,53562,4.3,7.0,,"10222 Blackhawk Rd, Middleton, WI 53562, USA"
4285ce6d695a0da4638641d55d617aa7b8d33aa7,Blacktail Mountain Ski Area,blacktail-mountain skiresort,48.0129179,-114.2381892,13990 Blacktail Rd, Lakeside,MT,59922,4.7,119.0,{'open_now': False},"13990 Blacktail Rd, Lakeside, MT 59922, USA"
c35799c13ea0312e14e617af965c49cd48bf564e,Dorset Snowsports Centre,blandford skiresort,50.6879326,-2.3415127,Warmwell,Warmwell,Dorchester,DT2,4.7,103.0,{'open_now': True},"Warmwell, Dorchester DT2 8JE, UK"
7530cb0244779b34b6a2e3d0cc6c1954a0849457,Blue Knob All Seasons Resort,blue-knob skiresort,40.2968813,-78.543661,1424 Overland Pass, Claysburg,PA,16625,4.1,173.0,,"1424 Overland Pass, Claysburg, PA 16625, USA"
71a18c929cbad8ecab0bb9fd9e14bf48c3adfa7d,Blue Mountain Resort,blue-mountain skiresort,44.5003458,-80.3105051,190 Gord Canning Dr, The Blue Mountains,ON,L9Y,4.5,9306.0,,"190 Gord Canning Dr, The Blue Mountains, ON L9Y 1C2, Canada"
f0cc3cf26df840dbe79c8b518bd6551a1226af9f,Bluewood,bluewood skiresort,46.0824866,-117.8511673,Bluewood Rd, Dayton,WA,99328,4.6,172.0,,"Bluewood Rd, Dayton, WA 99328, USA"
d2cbb497161879a6d8ca546af0e76152123d29e5,Bogus Basin,bogus-basin skiresort,43.7640569,-116.1026168,Bogus Basin,Bogus Basin,Idaho,83629,4.6,170.0,,"Bogus Basin, Idaho 83629, USA"
74f6d90cffbedfda7c230bbe78d8b92cf7535b7a,Bolton Valley Resort,bolton-valley skiresort,44.42099,-72.850323,4302 Bolton Valley Access Rd, Richmond,VT,05477,4.5,758.0,{'open_now': True},"4302 Bolton Valley Access Rd, Richmond, VT 05477, USA"
3dd2b7aa51a8d8a113ce1905591e122d88cd28b3,Boreal Mountain California,boreal skiresort,39.3364539,-120.3498347,19749 Boreal Ridge Rd, Soda Springs,CA,95728,4.3,1738.0,{'open_now': False},"19749 Boreal Ridge Rd, Soda Springs, CA 95728, USA"
56d543079251d101d12397c7cb0cb3cd78eadd3b,Boston Mills and Brandywine Ski Areas,boston-mills skiresort,41.2640987,-81.5632108,Boston Mills:, Peninsula,OH,44264,4.4,510.0,,"Boston Mills:, 7100 Riverview Rd, Peninsula, OH 44264, United States"
