Resort Name,,Continent,Country,State/Province,URL,Altitude,Easy(km),Intermediate(km) ,Difficult(km),Adult(ticket),Youth(ticket),Child(ticket),Lifts and cable cars 
blacktail-mountain,Blacktail Mountain Ski Area,North America,USA,Montana,http://www.skiresort.info/ski-resort/blacktail-mountain/,2066,3,11,3,40,28,19,
blue-knob,Blue Knob All Seasons Resort,North America,USA,Pennsylvania,http://www.skiresort.info/ski-resort/blue-knob/,960,5,8,3,62,0,50,
blue-mountain,Blue Mountain Resort,North America,USA,Pennsylvania,http://www.skiresort.info/ski-resort/blue-mountain/,470,10,6,2,85,0,70,
bluewood,Bluewood,North America,USA,Washington State,http://www.skiresort.info/ski-resort/bluewood/,1730,3,5,3,39,0,32,
bogus-basin,Bogus Basin,North America,USA,Idaho,http://www.skiresort.info/ski-resort/bogus-basin/,2311,11,22,17,59,49,25,3.7
bolton-valley,Bolton Valley Resort,North America,USA,Vermont,http://www.skiresort.info/ski-resort/bolton-valley/,960,15,10,5,74,0,64,2
boreal,Boreal Mountain California,North America,USA,Western United States,http://www.skiresort.info/ski-resort/boreal/,2357,6,11,3,64,44,34,3.3
boston-mills,Boston Mills and Brandywine Ski Areas,North America,USA,Ohio,http://www.skiresort.info/ski-resort/boston-mills/,270,0.5,0.5,0.5,43,0,38,
bottineau-winter-park,Bottineau Winter Park Ski-Area,North America,USA,North Dakota,http://www.skiresort.info/ski-resort/bottineau-winter-park/,740,0.8,0.3,0.2,35,30,20,
bousquet,Bousquet Ski Area,North America,USA,Massachusetts,http://www.skiresort.info/ski-resort/bousquet/,566,3,2,3,47,0,0,
boyce-park,Boyce Park Four Seasons Lodge,North America,USA,Pennsylvania,http://www.skiresort.info/ski-resort/boyce-park/,380,1,0,0,22,16,8,
boyne-highlands,Boyne Highlands Resort,North America,USA,Michigan,http://www.skiresort.info/ski-resort/boyne-highlands/,408,4,3,3,89,79,69,3.2
boyne-mountain,Boyne Mountain Resort,North America,USA,Michigan,http://www.skiresort.info/ski-resort/boyne-mountain/,372,4.5,6,3.5,89,79,69,3.1
brandywine,Boston Mills and Brandywine Ski Areas,North America,USA,Ohio,http://www.skiresort.info/ski-resort/brandywine/,270,1,0.7,0.3,43,0,38,
brantling-ski-slopes,Brantling Ski Slopes Inc,North America,USA,New York,http://www.skiresort.info/ski-resort/brantling-ski-slopes/,210,0.7,0.3,0,32,0,29,
breckenridge,Breckenridge Ski Resort,North America,USA,Colorado,http://www.skiresort.info/ski-resort/breckenridge/,3914,28,60,65,164,0,107,4
bretton-woods,Bretton Woods,North America,USA,New Hampshire,http://www.skiresort.info/ski-resort/bretton-woods/,945,25,16,15,89,68,53,3.8
Brian Head Resort,Brian Head Resort,North America,USA,Utah,http://www.skiresort.info/ski-resort/brian-head/,3328,22,24,25,69,0,50,3.3
bridger-bowl-bozeman,Bridger Bowl Ski Area,North America,USA,Montana,http://www.skiresort.info/ski-resort/bridger-bowl-bozeman/,2682,20,26,25,60,0,22,3
bristol-mountain,Bristol Mountain Ski Resort,North America,USA,New York,http://www.skiresort.info/ski-resort/bristol-mountain/,670,6,10,4,72,0,57,3.6
Bromley Mountain,Bromley Mountain Ski Resort,North America,USA,Vermont,http://www.skiresort.info/ski-resort/bromley-mountain/,1001,15,18,12,79,69,56,
bruce-mound,Bruce Mound Winter Sports Area,North America,USA,Wisconsin,http://www.skiresort.info/ski-resort/bruce-mound/,400,1,0.5,0.5,31,28,13,
brundage-mountain,Brundage Mountain Idaho Ski Resort,North America,USA,Idaho,http://www.skiresort.info/ski-resort/brundage-mountain/,2328,6,15,9,64,37,23,3.4
bryce-resort,Bryce Resort,North America,USA,Virginia,http://www.skiresort.info/ski-resort/bryce-resort/,533,2,2.8,0.2,65,0,58,3
buck-hill-ski-area,Buck Hill,North America,USA,Minnesota,http://www.skiresort.info/ski-resort/buck-hill-ski-area/,371,1.2,0.8,0.2,44,0,32,2.7
buckhorn-ski-and-snowboard-club,Buckhorn Ski and Snowboard Club,North America,USA,California,http://www.skiresort.info/ski-resort/buckhorn-ski-and-snowboard-club/,2253,0.2,0.6,0.4,0,0,0,
buena-vista,Buena Vista Ski Area,North America,USA,Minnesota,http://www.skiresort.info/ski-resort/buena-vista/,470,0.4,0.8,0.5,40,0,30,
buffalo-ski-club,Buffalo Ski Club,North America,USA,New York,http://www.skiresort.info/ski-resort/buffalo-ski-club/,512,5,4,2,55,0,44,
burke-mountain,Burke Mountain,North America,USA,Vermont,http://www.skiresort.info/ski-resort/burke-mountain/,975,2,4,4,64,55,47,3.7
buttermilk-mountain,Buttermilk Ski Area - Aspen Skiing Company,North America,USA,Colorado,http://www.skiresort.info/ski-resort/buttermilk-mountain/,3018,11.9,13.3,8.8,169,0,112,4
butternut-basin,Ski Butternut,North America,USA,Massachusetts,http://www.skiresort.info/ski-resort/butternut-basin/,540,4.4,13.2,4.4,65,0,55,
caberfae-peaks,Caberfae Peaks,North America,USA,Michigan,http://www.skiresort.info/ski-resort/caberfae-peaks/,465,4,5,2,47,42,37,3
camden-snow-bowl,The Camden Snow Bowl,North America,USA,Maine,http://www.skiresort.info/ski-resort/camden-snow-bowl/,320,1.2,3.6,1.2,39,0,34,
camelback,Camelback Mountain Resort,North America,USA,Pennsylvania,http://www.skiresort.info/ski-resort/camelback/,623,20,11,3,67,0,49,3.3
camp-10,Camp 10 Ski Area,North America,USA,Wisconsin,http://www.skiresort.info/ski-resort/camp-10/,530,0.3,0.7,0.5,34,0,25,
Campgaw Mountain Ski Area,Campgaw Mountain Ski Area,North America,USA,New Jersey,http://www.skiresort.info/ski-resort/campgaw/,290,1,0,0,45,0,0,
campton-mountain,Campton Mountain Ski Area,North America,USA,New Hampshire,http://www.skiresort.info/ski-resort/campton-mountain/,435,0.6,0.5,0.2,15,0,0,2.8
canaan-valley,Canaan Valley Ski Resort,North America,USA,West Virginia,http://www.skiresort.info/ski-resort/canaan-valley/,1304,3,4,3,68,0,47,
cannon-mountain,Cannon Mountain Ski Resort,North America,USA,New Hampshire,http://www.skiresort.info/ski-resort/cannon-mountain/,1243,15,25,10,75,62,53,3.2
cannonsburg-ski-area,Cannonsburg Ski Area,North America,USA,Michigan,http://www.skiresort.info/ski-resort/cannonsburg-ski-area/,280,0.5,1,0.5,37,0,27,
cascade-mountain,Cascade Mountain,North America,USA,Wisconsin,http://www.skiresort.info/ski-resort/cascade-mountain/,378,5,5,4,0,0,0,
cataloochee,Cataloochee Ski Area,North America,USA,North Carolina,http://www.skiresort.info/ski-resort/cataloochee/,1583,1.5,3,1.5,65,0,47,3
catamount,Catamount Mountain Resort,North America,USA,Massachusetts,http://www.skiresort.info/ski-resort/catamount/,580,8,4,3,66,0,56,3
cazenovia,Cazenovia Ski Club,North America,USA,New York,http://www.skiresort.info/ski-resort/cazenovia/,440,0.6,0.7,1,0,0,0,1.4
challenge-mountain-walloon-lake,Challenge Mountain Resale Store | Boyne City,North America,USA,Michigan,http://www.skiresort.info/ski-resort/challenge-mountain-walloon-lake/,325,0.9,0.3,0,0,0,0,
cherry-peak,Cherry Peak Resort,North America,USA,Utah,http://www.skiresort.info/ski-resort/cherry-peak/,2635,5,10,5,42,0,32,3
chester-bowl-park,Chester Bowl Improvement Club,North America,USA,Minnesota,http://www.skiresort.info/ski-resort/chester-bowl-park/,380,0.6,0,0,10,0,0,3
chestnut-mountain,Chestnut Mountain Resort,North America,USA,Illinois,http://www.skiresort.info/ski-resort/chestnut-mountain/,335,2,3,1,52,0,40,
china-peak,China Peak Mountain Resort,North America,USA,California,http://www.skiresort.info/ski-resort/china-peak/,2654,20,17,13,79,54,34,
christie-mountain,Christie Mountain,North America,USA,Wisconsin,http://www.skiresort.info/ski-resort/christie-mountain/,510,2.8,1.5,0.7,37,0,32,
clear-fork,"Bluegreen Vacations Christmas Mountain Village, an Ascend Resort",North America,USA,Ohio,http://www.skiresort.info/ski-resort/clear-fork/,420,,,,0,0,0,
cloudcroft,Ski Cloudcroft,North America,USA,New Mexico,http://www.skiresort.info/ski-resort/cloudcroft/,2773,4,2,4,45,0,35,
cloudmont-ski-resort,Cloudmont Ski & Golf Resort,North America,USA,Alabama,http://www.skiresort.info/ski-resort/cloudmont-ski-resort/,548,0.6,0,0,30,0,25,
cochran-ski-area,Cochran's Ski Area,North America,USA,Vermont,http://www.skiresort.info/ski-resort/cochran-ski-area/,280,0.6,0.5,0.1,25,0,20,
cockaigne-ski-area,Cockaigne Resort,North America,USA,New York,http://www.skiresort.info/ski-resort/cockaigne-ski-area/,619,,,,38,0,31,
coffee-mill-ski-area,Coffee Mill Ski Resort,North America,USA,Minnesota,http://www.skiresort.info/ski-resort/coffee-mill-ski-area/,360,1,0.6,0.4,32,0,26,
cooper,Ski Cooper,North America,USA,Colorado,http://www.skiresort.info/ski-resort/cooper/,3566,8,10,8,52,0,32,2.5
Cooper Spur Mountain Resort,Cooper Spur Mountain Resort,North America,USA,Oregon,http://www.skiresort.info/ski-resort/cooper-spur/,1325,4,4,2,32,0,28,3
copper-mountain,Copper Mountain,North America,USA,Colorado,http://www.skiresort.info/ski-resort/copper-mountain/,3767,30,40,56,150,0,85,3.7
coppervale,Coppervale Ski Hill,North America,USA,California,http://www.skiresort.info/ski-resort/coppervale/,1825,1,2,0,0,0,0,1.5
cottonwood-butte,Cottonwood Butte Ski Area,North America,USA,Idaho,http://www.skiresort.info/ski-resort/cottonwood-butte/,1707,,,,20,0,0,
Cranmore Mountain Resort,Cranmore Mountain Resort,North America,USA,New Hampshire,http://www.skiresort.info/ski-resort/cranmore-mountain-resort/,609,16,19,8,72,59,45,3.4
crested-butte,Crested Butte Mountain Resort,North America,USA,Colorado,http://www.skiresort.info/ski-resort/crested-butte/,3707,27,69,25,115,104,63,3.7
crotched-mountain,Crotched Mountain Ski and Ride,North America,USA,New Hampshire,http://www.skiresort.info/ski-resort/crotched-mountain/,630,2.5,4,1.5,64,0,54,3.4
crystal-mountain-mi,Crystal Mountain,North America,USA,Michigan,http://www.skiresort.info/ski-resort/crystal-mountain-mi/,359,1.2,2.3,1.4,72,0,62,3.3
crystal-mountain-wa,Crystal Mountain,North America,USA,Washington State,http://www.skiresort.info/ski-resort/crystal-mountain-wa/,2137,8,27,15,80,0,56,3.8
dartmouth-skiway,Dartmouth Skiway,North America,USA,New Hampshire,http://www.skiresort.info/ski-resort/dartmouth-skiway/,592,4,8,4,48,38,33,
