Resort Name,,Continent,Country,State/Province,URL,Altitude,Easy(km),Intermediate(km) ,Difficult(km),Adult(ticket),Youth(ticket),Child(ticket),Lifts and cable cars 
homewood-mountain-resort,Homewood Mountain Resort,North America,USA,Western United States,http://www.skiresort.info/ski-resort/homewood-mountain-resort/,2402,6,13,1,0,0,0,3.3
hoodoo-ski-area,Hoodoo Ski Area,North America,USA,Oregon,http://www.skiresort.info/ski-resort/hoodoo-ski-area/,1740,6,8,3,54,0,34,3
howelsen-hill-steamboat-springs,Howelsen Hill Ski Area,North America,USA,Colorado,http://www.skiresort.info/ski-resort/howelsen-hill-steamboat-springs/,2175,1.7,1.5,0.8,25,0,15,2.5
huff-hills,Huff Hills Ski Area,North America,USA,North Dakota,http://www.skiresort.info/ski-resort/huff-hills/,680,1.8,0.8,0.4,30,0,25,
hunt-hollow-ski-club,Hunt Hollow Ski Club,North America,USA,New York,http://www.skiresort.info/ski-resort/hunt-hollow-ski-club/,360,2,2,1,55,0,45,2.9
hunter-mountain,Hunter Mountain,North America,USA,New York,http://www.skiresort.info/ski-resort/hunter-mountain/,975,18,18,19,80,0,64,3.4
hurricane-ridge,Hurricane Ridge Ski Area,North America,USA,Washington State,http://www.skiresort.info/ski-resort/hurricane-ridge/,1676,2,2,1,34,0,0,
hyland-ski-snowboard-area,Hyland Hills Ski Area,North America,USA,Minnesota,http://www.skiresort.info/ski-resort/hyland-ski-snowboard-area/,310,0.6,0.4,0.2,34.49,0,30.76,3
indianhead-mountain,Indianhead Mountain - Big Snow Resort,North America,USA,Michigan,http://www.skiresort.info/ski-resort/indianhead-mountain/,554,2,3,5,65,0,52,
jack-frost-mountain,Jack Frost Ski Resort,North America,USA,Pennsylvania,http://www.skiresort.info/ski-resort/jack-frost-mountain/,610,6,5.5,0.5,58,0,45,
Jackson Hole Mountain Resort,Jackson Hole Mountain Resort,North America,USA,Wyoming,http://www.skiresort.info/ski-resort/jackson-hole/,3185,16,50,50,149,0,91,3.6
jay-peak,Jay Peak Resort,North America,USA,Vermont,http://www.skiresort.info/ski-resort/jay-peak/,1175,15,31,30,82,0,64,3.2
Majestic Heli Ski,Majestic Heli Ski,North America,USA,Alaska,http://www.skiresort.info/ski-resort/jerrys-heliski-alaska/,0,,,,0,0,0,
jiminy-peak,Jiminy Peak Mountain Resort,North America,USA,Massachusetts,http://www.skiresort.info/ski-resort/jiminy-peak/,725,4.1,2,3,81,70,61,
june-mountain,June Mountain Ski Area,North America,USA,California,http://www.skiresort.info/ski-resort/june-mountain/,3075,2.1,12.9,20.7,109,89,0,3.6
kelly-canyon,Kelly Canyon Ski Resort,North America,USA,Idaho,http://www.skiresort.info/ski-resort/kelly-canyon/,2030,4,5,3,40,0,32,3
kendall-mountain-silverton,Kendall Mountain Recreation Area,North America,USA,Colorado,http://www.skiresort.info/ski-resort/kendall-mountain-silverton/,3000,1,0.5,0.2,20,0,15,3
kettlebowl,Kettlebowl ski area,North America,USA,Wisconsin,http://www.skiresort.info/ski-resort/kettlebowl/,542,0.3,1.1,0,5,3,2,1
keyes-peak-florence,Keyes Peak Ski Hill,North America,USA,Wisconsin,http://www.skiresort.info/ski-resort/keyes-peak-florence/,450,0.5,0,0,12,0,8,
keystone,Keystone Resort,North America,USA,Colorado,http://www.skiresort.info/ski-resort/keystone/,3651,25,65,45,159,0,92,4
killington,Killington Ski Area,North America,USA,Vermont,http://www.skiresort.info/ski-resort/killington/,1285,37.4,43,46,115,0,89,3.7
King Pine Ski Area,King Pine Ski Area,North America,USA,New Hampshire,http://www.skiresort.info/ski-resort/king-pine-purity-spring-resort/,240,2.8,1.5,1,55,0,38,2.9
kirkwood,Kirkwood Mountain Resort,North America,USA,Western United States,http://www.skiresort.info/ski-resort/kirkwood/,2987,15,30,20,119,107,87,3.2
kissing-bridge,Kissing Bridge Snow Sports,North America,USA,New York,http://www.skiresort.info/ski-resort/kissing-bridge/,520,4.5,4.8,8.5,60,0,50,3
labrador-mountain,Labrador Mountain,North America,USA,New York,http://www.skiresort.info/ski-resort/labrador-mountain/,570,6,6,5,53,0,43,2.9
lake-city-ski-hill,Lake City Ski Hill,North America,USA,Colorado,http://www.skiresort.info/ski-resort/lake-city-ski-hill/,2771,0.7,0.3,0,15,0,7,1.5
las-vegas-ski-and-snowboard-resort-lee-canyon,Lee Canyon,North America,USA,Nevada,http://www.skiresort.info/ski-resort/las-vegas-ski-and-snowboard-resort-lee-canyon/,2856,0.3,5,2,70,0,60,2.8
laurel-mountain,Laurel Mountain Ski Resort,North America,USA,Pennsylvania,http://www.skiresort.info/ski-resort/laurel-mountain/,837,4,3,1,53,0,43,2.9
Leavenworth Ski Hill,Leavenworth Ski Hill,North America,USA,Washington State,http://www.skiresort.info/ski-resort/leavenworth-ski-hill/,520,1,0,0,18,0,14,1
liberty-mountain,Liberty Mountain Resort,North America,USA,Pennsylvania,http://www.skiresort.info/ski-resort/liberty-mountain/,355,3,4,2,76,0,64,3
little-ski-hill,Little Ski Hill,North America,USA,Idaho,http://www.skiresort.info/ski-resort/little-ski-hill/,1700,1.4,0,0,15,0,12,
little-switzerland-ski-resort,Little Switzerland Ski Area,North America,USA,Wisconsin,http://www.skiresort.info/ski-resort/little-switzerland-ski-resort/,380,1.1,1.3,0.6,44,0,32,2.6
living-memorial-park-brattleboro,Living Memorial Park Snow Sports Ski Area,North America,USA,Vermont,http://www.skiresort.info/ski-resort/living-memorial-park-brattleboro/,189,0.5,0,0,5,0,0,1.5
lonesome-pine-trails-fort-kent,Lonesome Pine Trails,North America,USA,Maine,http://www.skiresort.info/ski-resort/lonesome-pine-trails-fort-kent/,299,1,1.6,2,20,0,17,1.4
Lookout Pass Ski & Recreation Area,Lookout Pass Ski & Recreation Area,North America,USA,Idaho,http://www.skiresort.info/ski-resort/lookout-pass/,1675,8,14,9,44,0,32,3
lost-trail-powder-mountain,Lost Trail Powder Mountain,North America,USA,Montana,http://www.skiresort.info/ski-resort/lost-trail-powder-mountain/,2550,15,25,10,42,0,32,3
lost-valley,Lost Valley,North America,USA,Maine,http://www.skiresort.info/ski-resort/lost-valley/,166,1,0.5,0.5,45,0,40,3
loup-loup-ski-bowl,Loup Loup Ski Bowl,North America,USA,Washington State,http://www.skiresort.info/ski-resort/loup-loup-ski-bowl/,1620,3,5,3,48,37,27,2.8
loveland,Loveland Ski Area,North America,USA,Colorado,http://www.skiresort.info/ski-resort/loveland/,3871,12,38,43,75,0,32,3
lutsen-mountains,Lutsen Mountains,North America,USA,Minnesota,http://www.skiresort.info/ski-resort/lutsen-mountains/,503,8,19,13,82,0,67,3.6
lyndon-outing-club,Lyndon Outing Club,North America,USA,Vermont,http://www.skiresort.info/ski-resort/lyndon-outing-club/,380,1.5,1,0.1,15,0,10,1.4
mad-river-mountain,Mad River Mountain,North America,USA,Ohio,http://www.skiresort.info/ski-resort/mad-river-mountain/,445,3,2,1.3,45,0,35,2.9
Magic Mountain Ski Resort,Magic Mountain Ski Resort,North America,USA,Idaho,http://www.skiresort.info/ski-resort/magic-mountain-resort/,2207,3.5,3,4,31,0,22,
mammoth-mountain,Mammoth Mountain Ski Area,North America,USA,California,http://www.skiresort.info/ski-resort/mammoth-mountain/,3369,18.4,48.5,22.9,159,130,64,4
maple-ski-ridge,Maple Ski Ridge,North America,USA,New York,http://www.skiresort.info/ski-resort/maple-ski-ridge/,250,0.3,0.8,0.3,0,0,0,
marquette-mountain,Marquette Mountain Ski & Bike Area,North America,USA,Michigan,http://www.skiresort.info/ski-resort/marquette-mountain/,390,1.5,5,3.5,46,0,41,3
massanutten,Massanutten Resort,North America,USA,Virginia,http://www.skiresort.info/ski-resort/massanutten/,871,2,3.5,2.5,70,0,60,2.9
maverick-mountain,Maverick Mountain,North America,USA,Montana,http://www.skiresort.info/ski-resort/maverick-mountain/,2596,6,8,6,36,0,22,3
mccauly-mountain,Mc Cauley Mountain Ski Center,North America,USA,New York,http://www.skiresort.info/ski-resort/mccauly-mountain/,700,3,4,2,30,0,25,2.4
mcintyre,McIntyre Ski Area,North America,USA,New Hampshire,http://www.skiresort.info/ski-resort/mcintyre/,155,2.5,0.5,0,36,0,32,3
meadowlark-ski-lodge,Meadowlark Ski Lodge,North America,USA,Wyoming,http://www.skiresort.info/ski-resort/meadowlark-ski-lodge/,2828,3,4,3,45,38,27,3
meany-lodge,Meany Lodge,North America,USA,Washington State,http://www.skiresort.info/ski-resort/meany-lodge/,1027,1,1,0,0,0,0,
middlebury-college-snow-bowl,Middlebury College Snow Bowl,North America,USA,Vermont,http://www.skiresort.info/ski-resort/middlebury-college-snow-bowl/,810,5,4,6,55,45,15,3
missaukee-mountain,Missaukee Ski Mountain,North America,USA,Michigan,http://www.skiresort.info/ski-resort/missaukee-mountain/,0,,,,0,0,0,
mohawk-mountain,Mohawk Mountain Ski Area,North America,USA,Connecticut,http://www.skiresort.info/ski-resort/mohawk-mountain/,454,3,2,3,60,0,52,3
monarch,Monarch Mountain,North America,USA,Colorado,http://www.skiresort.info/ski-resort/monarch/,3630,5,14,12,74,45,30,3
mont-du-lac,Mont Du Lac Resort,North America,USA,Wisconsin,http://www.skiresort.info/ski-resort/mont-du-lac/,280,0.5,1.4,2,39.99,0,24.99,
mont-ripley,Mont Ripley Ski Area,North America,USA,Michigan,http://www.skiresort.info/ski-resort/mont-ripley/,330,2,2.2,2.7,45,0,40,2.7
montage-mountain-resort,Montage Mountain Resorts,North America,USA,Pennsylvania,http://www.skiresort.info/ski-resort/montage-mountain-resort/,594,2,4,3.5,62,0,49,3
montana-snowbowl,Snowbowl,North America,USA,Montana,http://www.skiresort.info/ski-resort/montana-snowbowl/,2316,5,12,14,47,44,20,2.9
moose-mountain,Moose Mountain Ski and Snowboard Resort,North America,USA,Alaska,http://www.skiresort.info/ski-resort/moose-mountain/,595,3,12,10,39,34,29,1
mount-ski-gull,Ski Gull,North America,USA,Minnesota,http://www.skiresort.info/ski-resort/mount-ski-gull/,443,0.7,0.7,0.7,31,0,24,2.5
Mount Snow Grand Summit Resort,Mount Snow Grand Summit Resort,North America,USA,Vermont,http://www.skiresort.info/ski-resort/mount-snow/,1095,6,46,8,95,0,75,3.7
Mountain Creek Ski Resor,Mountain Creek Ski Resort Parking Lot,North America,USA,New Jersey,http://www.skiresort.info/ski-resort/mountain-creek-vernon/,451,4,14,6,69,0,53.99,3.4
Mountain High Resort,Mountain High Resort,North America,USA,California,http://www.skiresort.info/ski-resort/mountain-high-east/,2496,2,5,4,74,0,35,3.9
mt-abram,Mt Abram Family Resort,North America,USA,Maine,http://www.skiresort.info/ski-resort/mt-abram/,610,3.5,7,4,59,0,49,
mt-ashland,Mt. Ashland Ski Area,North America,USA,Oregon,http://www.skiresort.info/ski-resort/mt-ashland/,2286,1,7,5,46,0,36,3
mt-ashwabay-salmo,Mt Ashwabay Ski and Recreation Area,North America,USA,Wisconsin,http://www.skiresort.info/ski-resort/mt-ashwabay-salmo/,389,1.5,1.2,1.3,24,0,18,2.7
mt-bachelor,Mt Bachelor,North America,USA,Oregon,http://www.skiresort.info/ski-resort/mt-bachelor/,2763,15,25,60,96,78,54,4
mt-bailey,Mt Bailey,North America,USA,Oregon,http://www.skiresort.info/ski-resort/mt-bailey/,0,,,,350,0,0,
mt-baker,Mt. Baker Ski Area,North America,USA,Washington State,http://www.skiresort.info/ski-resort/mt-baker/,1525,24,45,31,62,40,30,3
mt-baldy,Mt. Baldy Resort,North America,USA,California,http://www.skiresort.info/ski-resort/mt-baldy/,2620,3,6,11,69,49,39,3
mt-bohemia,Mount Bohemia,North America,USA,Michigan,http://www.skiresort.info/ski-resort/mt-bohemia/,445,0,3,10,59,0,0,3
mt-brighton,Mt Brighton Ski Area,North America,USA,Michigan,http://www.skiresort.info/ski-resort/mt-brighton/,340,1,3.5,1.7,63,0,0,2.7
mt-eustis-littleton,Mt. Eustis Ski Hill,North America,USA,New Hampshire,http://www.skiresort.info/ski-resort/mt-eustis-littleton/,0,,,,0,0,0,
mt-eyak,Mt Eyak Ski Area,North America,USA,Alaska,http://www.skiresort.info/ski-resort/mt-eyak/,366,1,2,2,30,0,20,3
mt-holiday,Mt. Holiday Ski and Recreational Area,North America,USA,Michigan,http://www.skiresort.info/ski-resort/mt-holiday/,274,1,2,1.5,32,0,26,2.6
mt-hood-meadows,Mt. Hood Meadows,North America,USA,Oregon,http://www.skiresort.info/ski-resort/mt-hood-meadows/,2225,13.5,45,31.5,82,0,49,3.9
Mt. Hood Skibowl,Mt Hood Skibowl East,North America,USA,Oregon,http://www.skiresort.info/ski-resort/mt-hood-skibowl/,1510,15,15,35,53,0,32,2.9
mt-jefferson,Mt. Jefferson Ski Area,North America,USA,Maine,http://www.skiresort.info/ski-resort/mt-jefferson/,230,3,4,2.5,20,0,15,1.4
mt-kato,Mount Kato Ski Hill,North America,USA,Minnesota,http://www.skiresort.info/ski-resort/mt-kato/,313,2.5,4.5,5,41,0,33,2.9
mt-la-crosse,Mt La Crosse Pro Shop,North America,USA,Wisconsin,http://www.skiresort.info/ski-resort/mt-la-crosse/,372,1.5,3,2.5,51,0,48,2.9
mt-lemmon-ski-valley,Mt Lemmon Ski Valley,North America,USA,Arizona,http://www.skiresort.info/ski-resort/mt-lemmon-ski-valley/,2750,2.5,4,2,40,0,20,3
mt-peter,Mount Peter Ski Area,North America,USA,New York,http://www.skiresort.info/ski-resort/mt-peter/,330,1,2,0.8,49,0,42,2.9
mt-pisgah,Mt Pisgah Ski Area,North America,USA,New York,http://www.skiresort.info/ski-resort/mt-pisgah/,627,1,0,0,20,0,0,1.5
mt-rose,Mt. Rose Ski Tahoe,North America,USA,Western United States,http://www.skiresort.info/ski-resort/mt-rose/,2957,20,30,50,125,0,75,3.5
mt-shasta-ski-park,Mt. Shasta Ski Park,North America,USA,California,http://www.skiresort.info/ski-resort/mt-shasta-ski-park/,2100,5,8,10,58,0,32,3
mt-southington,Mount Southington Ski Area,North America,USA,Connecticut,http://www.skiresort.info/ski-resort/mt-southington/,173,2,3,0.8,58,0,48,3
mt-spokane,Mt. Spokane Ski & Snowboard Park,North America,USA,Washington State,http://www.skiresort.info/ski-resort/mt-spokane/,1795,7,5,14,55,0,45,3
mt-sunapee,Mount Sunapee Resort,North America,USA,New Hampshire,http://www.skiresort.info/ski-resort/mt-sunapee/,828,8,16,6,84,67,57,3.6
mt-waterman,Mt Waterman Ski Lifts,North America,USA,California,http://www.skiresort.info/ski-resort/mt-waterman/,2440,2,2,6,50,40,20,3
mt-zion-hill,Mt Zion Ski Hill,North America,USA,Michigan,http://www.skiresort.info/ski-resort/mt-zion-hill/,0,,,,0,0,0,
mulligans-hollow-ski-bowl,Mulligan's Hollow Ski Bowl,North America,USA,Michigan,http://www.skiresort.info/ski-resort/mulligans-hollow-ski-bowl/,233,1,1,1,16,0,0,
mystic-mountain-farmington,Mystic Mountain,North America,USA,Pennsylvania,http://www.skiresort.info/ski-resort/mystic-mountain-farmington/,619,2.3,1,0.6,43,0,35,2.9
nashoba-valley,Nashoba Valley Ski Area,North America,USA,Massachusetts,http://www.skiresort.info/ski-resort/nashoba-valley/,128,1,3,1.8,55,0,0,2.9
navarino-hills,Navarino Hills,North America,USA,Wisconsin,http://www.skiresort.info/ski-resort/navarino-hills/,270,0.5,0.3,0,27,0,10,2.4
nordic-mountain,Nordic Mountain,North America,USA,Wisconsin,http://www.skiresort.info/ski-resort/nordic-mountain/,346,2,3,1.5,44,0,30,2.6
nordic-valley,Nordic Valley Ski Resort,North America,USA,Utah,http://www.skiresort.info/ski-resort/nordic-valley/,1930,2.5,4,3,45,0,35,3
north-cascade-heliskiing-mazama,North Cascade Heli-Skiing,North America,USA,Washington State,http://www.skiresort.info/ski-resort/north-cascade-heliskiing-mazama/,2700,,,,0,0,0,1
northeast-slopes-east-corinth,Northeast Slopes,North America,USA,Vermont,http://www.skiresort.info/ski-resort/northeast-slopes-east-corinth/,355,1.2,1,0,15,0,0,1.2
northstar-california-resort,Northstar California Resort,North America,USA,Western United States,http://www.skiresort.info/ski-resort/northstar-california-resort/,2624,25,45,27,152,125,90,4.1
norway-mountain,Norway Mountain Resort,North America,USA,Michigan,http://www.skiresort.info/ski-resort/norway-mountain/,406,2.5,3.5,2,45,37,25,2.8
nubs-nob-ski-area,Nubs Nob Ski Resort,North America,USA,Michigan,http://www.skiresort.info/ski-resort/nubs-nob-ski-area/,403,6.2,9,3.7,80,68,57,3
nutt-hill-plymouth,Nutt Hill Ski Area,North America,USA,Wisconsin,http://www.skiresort.info/ski-resort/nutt-hill-plymouth/,309,0.2,0,0,0,0,0,1
oak-mountain,Oak Mountain,North America,USA,New York,http://www.skiresort.info/ski-resort/oak-mountain/,740,6,4,2,38,0,27,2.8
oglebay-resort,Oglebay Resort and Conference Center,North America,USA,West Virginia,http://www.skiresort.info/ski-resort/oglebay-resort/,0,1,0,0,26,0,21,3
okemo,Okemo Mountain Resort,North America,USA,Vermont,http://www.skiresort.info/ski-resort/okemo/,1019,22,26,22,110,97,84,3.7
otis-ridge,Otis Ridge,North America,USA,Massachusetts,http://www.skiresort.info/ski-resort/otis-ridge/,480,1.2,1.5,1,40,35,15,2.5
otsego-gaylord,Otsego Club & Resort,North America,USA,Michigan,http://www.skiresort.info/ski-resort/otsego-gaylord/,422,3,2,2,65,55,50,3
pajarito-mountain,Pajarito Mountain Ski Area,North America,USA,New Mexico,http://www.skiresort.info/ski-resort/pajarito-mountain/,3190,8,12,6,49,42,34,
paoli-peaks,Paoli Peaks,North America,USA,Indiana,http://www.skiresort.info/ski-resort/paoli-peaks/,251,2.6,3,1,42,0,36,3
Park City Mountain,Park City Mountain,North America,USA,Utah,http://www.skiresort.info/ski-resort/park-city/,3049,27,152,71,145,0,93,3.9
pats-peak,Pats Peak Ski Area,North America,USA,New Hampshire,http://www.skiresort.info/ski-resort/pats-peak/,426,10,8,15,66,0,56,2.9
pebble-creek,Pebble Creek Ski Area,North America,USA,Idaho,http://www.skiresort.info/ski-resort/pebble-creek/,2609,6,9,4,43,0,29,3
peekn-peak,Peek'n Peak Resort,North America,USA,New York,http://www.skiresort.info/ski-resort/peekn-peak/,535,4,8,3,59,0,46,
perfect-north-slopes,Perfect North Slopes,North America,USA,Indiana,http://www.skiresort.info/ski-resort/perfect-north-slopes/,244,3,1,1,0,0,0,
petoskey-winter-sports-park,Petoskey Winter Sports Park,North America,USA,Michigan,http://www.skiresort.info/ski-resort/petoskey-winter-sports-park/,241,0.2,0,0,0,0,0,
pico-mountain,Pico Mountain Ski Resort,North America,USA,Vermont,http://www.skiresort.info/ski-resort/pico-mountain/,1209,6.8,15,8.6,74,0,57,3.8
pine-creek,Pine Creek Ski Resort,North America,USA,Wyoming,http://www.skiresort.info/ski-resort/pine-creek/,2508,4,7,5,43,0,38,3
pine-mountain,Pine Mountain Resort,North America,USA,Michigan,http://www.skiresort.info/ski-resort/pine-mountain/,461,2.5,5.5,1.5,45,37,25,2.9
pinnacle-park-pittsfield,Pinnacle Park,North America,USA,Maine,http://www.skiresort.info/ski-resort/pinnacle-park-pittsfield/,96,0.3,0.2,0.2,0,0,0,1
plattekill,Plattekill Mountain,North America,USA,New York,http://www.skiresort.info/ski-resort/plattekill/,1014,4.5,6,6,61,50,48,2.9
points-north-heli-adventures,Points North Heli-Adventures,North America,USA,Alaska,http://www.skiresort.info/ski-resort/points-north-heli-adventures/,0,,,,0,0,0,
pomerelle,Pomerelle Mountain Resort,North America,USA,Idaho,http://www.skiresort.info/ski-resort/pomerelle/,2640,4,7,4,38,0,29,3
porcupine-mountain,Porcupine Mountains Ski Area,North America,USA,Michigan,http://www.skiresort.info/ski-resort/porcupine-mountain/,415,3.2,3.5,3,39,0,30,
powder-mountain,Powder Mountain,North America,USA,Utah,http://www.skiresort.info/ski-resort/powder-mountain/,2712,30,50,55,85,0,47,3.2
powder-ridge-mountain-park-resort,Powder Ridge Mountain Park & Resort,North America,USA,Connecticut,http://www.skiresort.info/ski-resort/powder-ridge-mountain-park-resort/,245,2.5,2,1,55,0,44,3
powderbird,Powderbird Heli Skiing,North America,USA,Utah,http://www.skiresort.info/ski-resort/powderbird/,0,,,,0,0,0,
powderhorn,Powderhorn Mountain Resort,North America,USA,Colorado,http://www.skiresort.info/ski-resort/powderhorn/,3000,5,15,18,71,60,35,3.6
powderhouse-hill-south-berwick,Powder House Hill,North America,USA,Maine,http://www.skiresort.info/ski-resort/powderhouse-hill-south-berwick/,80,0.5,0,0,5,0,0,1
powers-bluff,Powers Bluff County Park & Winter Recreation Area,North America,USA,Wisconsin,http://www.skiresort.info/ski-resort/powers-bluff/,436,1,0,0,8,0,0,1
purgatory-durango,Purgatory Resort,North America,USA,Colorado,http://www.skiresort.info/ski-resort/purgatory-durango/,3299,15,40,30,89,70,55,3.6
quadna-mountain,Quadna Mountain Resort Golf,North America,USA,Minnesota,http://www.skiresort.info/ski-resort/quadna-mountain/,0,,,,0,0,0,
Ski Quechee,Ski Quechee,North America,USA,Vermont,http://www.skiresort.info/ski-resort/quechee-lakes-ski-area/,380,2,2.5,0.5,36,0,32,2.8
quoggy-jo-ski-center-presque-isle,Quoggy Jo Ski Center,North America,USA,Maine,http://www.skiresort.info/ski-resort/quoggy-jo-ski-center-presque-isle/,275,0.8,0,0,8,0,0,1.5
ragged-mountain,Ragged Mountain Resort,North America,USA,New Hampshire,http://www.skiresort.info/ski-resort/ragged-mountain/,680,4.5,10,8,79,65,55,3.9
raging-buffalo-algonquin,Raging Buffalo Snowboard Ski Park & Snowtubing,North America,USA,Illinois,http://www.skiresort.info/ski-resort/raging-buffalo-algonquin/,260,0.3,0.2,0,45,0,0,1
red-hill-moultonborough,Red Hill Ski Club,North America,USA,New Hampshire,http://www.skiresort.info/ski-resort/red-hill-moultonborough/,260,0.4,0.4,0.2,0,0,0,1
red-lodge-mountain,Red Lodge Mountain,North America,USA,Montana,http://www.skiresort.info/ski-resort/red-lodge-mountain/,2870,11,30,24,53,42,22,3.4
red-river,Red River Ski & Summer Area,North America,USA,New Mexico,http://www.skiresort.info/ski-resort/red-river/,3135,7,6,7,73,67,57,3
riverview-highlands,Riverview Highlands Golf Course,North America,USA,Michigan,http://www.skiresort.info/ski-resort/riverview-highlands/,0,,,,0,0,0,
rocking-horse-ranch,Rocking Horse Ranch Resort,North America,USA,New York,http://www.skiresort.info/ski-resort/rocking-horse-ranch/,214,0.3,0,0,0,0,0,1
rotarun,Rotarun Ski Area,North America,USA,Idaho,http://www.skiresort.info/ski-resort/rotarun/,1790,1,2,1.5,20,0,10,1.5
roundtop,Roundtop Mountain Resort,North America,USA,Pennsylvania,http://www.skiresort.info/ski-resort/roundtop/,410,1.5,3,3,68,0,56,3
royal-mountain,Royal Mountain Ski Area,North America,USA,New York,http://www.skiresort.info/ski-resort/royal-mountain/,533,2.5,3,2,40,0,30,3
saddleback,Saddleback Maine,North America,USA,Maine,http://www.skiresort.info/ski-resort/saddleback/,1220,4,8,10,69,0,59,2.9
sahalie-ski-club,Sahalie Ski Club,North America,USA,Washington State,http://www.skiresort.info/ski-resort/sahalie-ski-club/,966,1,0.5,0,0,0,0,
sand-master-park-florence,Sand Master Park - Sandboarding,North America,USA,Oregon,http://www.skiresort.info/ski-resort/sand-master-park-florence/,40,0,0,0.1,25,0,0,1
sandia-peak,Sandia Peak Ski & Tram,North America,USA,New Mexico,http://www.skiresort.info/ski-resort/sandia-peak/,3140,8,20,3,55,45,40,2.8
santa-fe,Ski Santa Fe,North America,USA,New Mexico,http://www.skiresort.info/ski-resort/santa-fe/,3679,9,15,10,75,60,52,3
sawkill-ski,Sawkill Family Ski Center,North America,USA,New York,http://www.skiresort.info/ski-resort/sawkill-ski/,0,,,,40,0,33,
sawmill-mountain-resort,Ski Sawmill Resort,North America,USA,Pennsylvania,http://www.skiresort.info/ski-resort/sawmill-mountain-resort/,620,0.9,2.5,1,37,0,30,2.6
schweitzer-mountain-resort,Schweitzer Mountain Resort,North America,USA,Idaho,http://www.skiresort.info/ski-resort/schweitzer-mountain-resort/,1950,20,40,35,79,0,50,3.6
seacoast-snow-park,Seacoast Adventure,North America,USA,Maine,http://www.skiresort.info/ski-resort/seacoast-snow-park/,0,,,,0,0,0,
seven-oaks,Seven Oaks Recreation,North America,USA,Iowa,http://www.skiresort.info/ski-resort/seven-oaks/,330,1.5,2,0.5,36,0,27,3
Seven Springs Mountain Resort,Seven Springs Mountain Resort,North America,USA,Pennsylvania,http://www.skiresort.info/ski-resort/seven-springs/,915,6,7,4,87,0,67,3.3
Shanty Creek Resort,Shanty Creek Resort,North America,USA,Michigan,http://www.skiresort.info/ski-resort/shanty-creek-resorts-schuss-mountain/,356,5,4,3,69,59,54,3
shawnee-mountain,Shawnee Mountain Ski Area,North America,USA,Pennsylvania,http://www.skiresort.info/ski-resort/shawnee-mountain/,350,4,9,5,62,0,45,3.2
shawnee-peak,Shawnee Peak,North America,USA,Maine,http://www.skiresort.info/ski-resort/shawnee-peak/,550,4,12,7,65,0,50,3
showdown,Showdown Montana,North America,USA,Montana,http://www.skiresort.info/ski-resort/showdown/,2500,6,8,6,45,40,25,3
shu-maker-mountain-little-falls,Shu-Maker Mountain Climbers,North America,USA,New York,http://www.skiresort.info/ski-resort/shu-maker-mountain-little-falls/,0,,,,0,0,0,
sierra-at-tahoe,Sierra-at-Tahoe Resort,North America,USA,Western United States,http://www.skiresort.info/ski-resort/sierra-at-tahoe/,2698,12,23,11.5,104,94,43,3
silver-mountain,Silver Mountain,North America,USA,Idaho,http://www.skiresort.info/ski-resort/silver-mountain/,1920,4,8,13,60,0,45,3.8
silverton-mountain,Silverton Mountain Ski Area,North America,USA,Colorado,http://www.skiresort.info/ski-resort/silverton-mountain/,3790,,,,59,0,0,
sipapu,Sipapu Ski & Summer Resort,North America,USA,New Mexico,http://www.skiresort.info/ski-resort/sipapu/,2825,3,7,8,45,39,29,2.8
sitzmark,Sitzmark Lodge,North America,USA,Washington State,http://www.skiresort.info/ski-resort/sitzmark/,1485,2,3,2.5,35,28,22,2.8
ski-brule,Pioneer Lodge,North America,USA,Michigan,http://www.skiresort.info/ski-resort/ski-brule/,565,2,4,1.5,49,0,43,2.7
skiland-mt-aurora,FNAV Ski Land,North America,USA,Alaska,http://www.skiresort.info/ski-resort/skiland-mt-aurora/,745,4,9,4,35,0,20,3
sky-tavern,Sky Tavern Ski Area,North America,USA,Nevada,http://www.skiresort.info/ski-resort/sky-tavern/,2517,,,,0,0,0,
sleeping-giant,Sleeping Giant Ski Area & Zipline,North America,USA,Wyoming,http://www.skiresort.info/ski-resort/sleeping-giant/,2265,3,8,6,34,26,16,2.7
sleepy-hollow-sports-park-des-moines,Sleepy Hollow Sports Park,North America,USA,Iowa,http://www.skiresort.info/ski-resort/sleepy-hollow-sports-park-des-moines/,286,0.5,0.4,0.3,0,0,0,2.8
smugglers-notch,Smugglers' Notch Resort,North America,USA,Vermont,http://www.skiresort.info/ski-resort/smugglers-notch/,1112,13,41,24,80,0,64,3
snow-creek,Snow Creek Ski Area,North America,USA,Missouri,http://www.skiresort.info/ski-resort/snow-creek/,335,1.3,1.8,0.1,44,0,29,2.9
snow-king-mountain-jackson,Snow King Mountain Resort,North America,USA,Wyoming,http://www.skiresort.info/ski-resort/snow-king-mountain-jackson/,2380,3,2.5,3.5,55,0,35,3
snow-ridge,Snow Ridge Ski Resort,North America,USA,New York,http://www.skiresort.info/ski-resort/snow-ridge/,540,2,3,5,39,0,30,
snow-snake,Snow Snake Ski & Golf,North America,USA,Michigan,http://www.skiresort.info/ski-resort/snow-snake/,365,1,1.5,0.5,32,0,0,2.4
snow-summit-big-bear-lake,Snow Summit Ski Resort,North America,USA,California,http://www.skiresort.info/ski-resort/snow-summit-big-bear-lake/,2500,10,12,7,89,73,36,3.4
