Resort Name,Continent,Country,State/Province,URL,Altitude,Easy(km),Intermediate(km) ,Difficult(km),Adult(ticket),Youth(ticket),Child(ticket),Lifts and cable cars 
bristol-mountain,North America,USA,New York,http://www.skiresort.info/ski-resort/bristol-mountain/,670,6,10,4,72,0,57,3.6
bromley-mountain,North America,USA,Vermont,http://www.skiresort.info/ski-resort/bromley-mountain/,1001,15,18,12,79,69,56,
bruce-mound,North America,USA,Wisconsin,http://www.skiresort.info/ski-resort/bruce-mound/,400,1,0.5,0.5,31,28,13,
brundage-mountain,North America,USA,Idaho,http://www.skiresort.info/ski-resort/brundage-mountain/,2328,6,15,9,64,37,23,3.4
bryce-resort,North America,USA,Virginia,http://www.skiresort.info/ski-resort/bryce-resort/,533,2,2.8,0.2,65,0,58,3
buck-hill-ski-area,North America,USA,Minnesota,http://www.skiresort.info/ski-resort/buck-hill-ski-area/,371,1.2,0.8,0.2,44,0,32,2.7
buckhorn-ski-and-snowboard-club,North America,USA,California,http://www.skiresort.info/ski-resort/buckhorn-ski-and-snowboard-club/,2253,0.2,0.6,0.4,0,0,0,
buena-vista,North America,USA,Minnesota,http://www.skiresort.info/ski-resort/buena-vista/,470,0.4,0.8,0.5,40,0,30,
buffalo-ski-club,North America,USA,New York,http://www.skiresort.info/ski-resort/buffalo-ski-club/,512,5,4,2,55,0,44,
burke-mountain,North America,USA,Vermont,http://www.skiresort.info/ski-resort/burke-mountain/,975,2,4,4,64,55,47,3.7
buttermilk-mountain,North America,USA,Colorado,http://www.skiresort.info/ski-resort/buttermilk-mountain/,3018,11.9,13.3,8.8,169,0,112,4
butternut-basin,North America,USA,Massachusetts,http://www.skiresort.info/ski-resort/butternut-basin/,540,4.4,13.2,4.4,65,0,55,
caberfae-peaks,North America,USA,Michigan,http://www.skiresort.info/ski-resort/caberfae-peaks/,465,4,5,2,47,42,37,3
camden-snow-bowl,North America,USA,Maine,http://www.skiresort.info/ski-resort/camden-snow-bowl/,320,1.2,3.6,1.2,39,0,34,
camelback,North America,USA,Pennsylvania,http://www.skiresort.info/ski-resort/camelback/,623,20,11,3,67,0,49,3.3
camp-10,North America,USA,Wisconsin,http://www.skiresort.info/ski-resort/camp-10/,530,0.3,0.7,0.5,34,0,25,
campgaw,North America,USA,New Jersey,http://www.skiresort.info/ski-resort/campgaw/,290,1,0,0,45,0,0,
